Run,Lumi,Event,MR,Rsq,E1,Px1,Py1,Pz1,E2,Px2,Py2,Pz2,HT,MET,nJets,nBJets
148029,388,302456554,220.982,0.0404774,141.327,92.4291,60.5553,86.9659,105.713,-68.6655,-76.828,20.2957,213.54,16.4395,2,0
148029,388,302469234,578.207,0.00572169,233.031,109.255,109.398,-173.895,375.04,-93.3166,-53.0197,358.579,261.938,13.1429,2,0
148029,388,302464930,344.488,0.0466602,157.295,-103.495,-96.2902,-67.0917,209.963,59.5673,63.8656,190.302,228.694,39.5919,2,1
148029,388,302480234,325.385,0.015962,142.536,-134.759,33.0144,22.1842,300.335,118.665,-21.8001,274.44,259.396,12.1395,2,0
148029,388,302476794,424.023,0.00496051,267.383,103.117,43.3818,-233.352,172.911,-71.5106,-21.3612,155.358,200.039,10.074,3,0
148029,388,302496194,294.535,0.0395615,157.189,-111.965,87.1204,-65.7626,138.962,83.2689,-78.9084,77.4197,256.584,24.0495,2,0
148029,388,302530218,185.683,0.00953506,141.59,-66.8423,-75.7382,-97.1445,135.146,19.6551,81.4501,-105.039,184.804,3.1246,2,1
148029,388,302503770,404.02,0.00965085,579.582,42.7727,115.12,566.268,118.137,-62.3789,-98.4181,0.406675,239.331,11.9103,2,0
148029,388,302550490,237.05,0.064133,277.511,94.1425,71.4626,-211.83,86.0227,-61.9163,-56.2049,-13.9176,246.437,30.3654,3,0
148029,388,302567970,288.07,0.0167843,96.5911,-19.771,88.9445,-25.1587,495.626,38.9792,-64.1939,-489.865,166.217,15.3312,2,0
148029,388,302576138,212.145,0.0514861,172,4.06476,115.507,-126.226,248.814,-2.65865,-78.2519,-235.781,193.875,20.3722,2,0
148029,388,302585594,463.591,0.0107169,947.258,69.1095,96.5649,-939.69,106.307,-34.827,-99.7604,-5.75158,224.412,18.7427,2,0
148029,388,302585530,395.532,0.0101465,150.228,45.5633,-114.092,-70.4941,308.772,-70.7225,93.5372,285.291,244.869,12.3074,3,0
148029,388,302585386,286.808,0.0138515,170.904,-109.164,15.4888,-127.442,125.524,98.6303,38.5008,66.0451,216.136,8.40686,2,0
148029,388,302597066,397.621,0.00936975,214.112,-6.20163,-145.323,155.859,186.488,29.1538,100.207,-152.088,249.816,9.98703,2,0
